AnimalID,Location,Haplotype
394,PHILIPPINES,4
395,PHILIPPINES,16
399,PHILIPPINES,17
452,NORTH PACIFIC,19
453,NORTH PACIFIC,20
454,NORTH PACIFIC,21
2594,PHILIPPINES,6
2596,PHILIPPINES,7
2597,PHILIPPINES,8
2598,PHILIPPINES,2
2599,PHILIPPINES,9
2600,PHILIPPINES,10
2601,PHILIPPINES,11
2602,PHILIPPINES,11
2606,PHILIPPINES,12
2607,PHILIPPINES,13
2648,PHILIPPINES,11
2653,PHILIPPINES,6
2671,PHILIPPINES,14
5553,PHILIPPINES,4
5556,PHILIPPINES,1
5559,PHILIPPINES,9
7452,PHILIPPINES,22
9553,TAIWAN,2
9554,TAIWAN,23
9555,TAIWAN,24
9846,MALDIVES,25
9867,MALDIVES,26
9868,MALDIVES,2
15529,ETP,5
30468,"USA, HI",11
30469,"USA, HI",11
30470,"USA, HI",15
40922,MALDIVES,18
125679,PHILIPPINES,1
136815,PHILIPPINES,2
136816,PHILIPPINES,3
136818,PHILIPPINES,4
136819,,2
