"LabID","All","Fine","Broad","HI.Fine","CNMI_HIArch","CNMI_Other","CNMI_NoHybrids","STRUCTURE_strata"
"33897","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"33900","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"33921","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"33922","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"33923","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"33924","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"33925","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"33942","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33943","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33944","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33945","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33946","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33947","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33950","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33951","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33952","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33953","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33954","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33960","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33961","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33962","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33963","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33967","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33973","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33974","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33975","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33976","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33977","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33978","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"33986","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34019","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34022","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34024","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34025","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34026","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
