"","id","pct.miss","orig.pop","prob.1","prob.2"
"126","104035",0,2,0.9377,0.0623
"127","104066",0,2,0.9207,0.0793
"128","104067",0,2,0.8133,0.1867
"129","104070",0,2,0.959,0.041
"132","108172",0,2,0.8717,0.1283
"133","108183",0,2,0.936,0.064
"134","108207",0,2,0.853,0.147
"135","108208",0,2,0.7447,0.2553
"150","116858",0,2,0.8973,0.1027
"151","116866",0,2,0.923,0.077
"152","116867",0,2,0.4743,0.5257
"153","116868",0,2,0.6833,0.3167
"154","116869",0,2,0.7617,0.2383
"155","116881",0,2,0.9717,0.0283
